сапогоу|sapogu
егоже|jegože
с҃нъ|synъ
болѣаше|bolěaše
въ|vъ
каперънаоумѣ|kaperъnaumě
слꙑшавъ|slyšǢvъ
ѣко|ako
и҃с|jisusъ
приде|prijьde
отъ|otъ
ꙇюдеѩ|ijudeję
въ|vъ
галилеѭ|galilejǫ
ꙇде|jьde
къ|kъ
н҄емоу|ńemu
ꙇ|i
мол҄ѣаше|modĺǢaše
і|i
да|da
сънидетъ|sъnidetъ
ꙇ|i
цѣлитъ|kělitъ
с҃на|syna
его|jego
бѣ|bě
бо|bo
оумираѩ|umiraję
рече|reče
же|že
къ|kъ
н҄емоу|ńemu
и҃с|jisusъ
аште|aћe
знамени|
ꙇ|i
чюдесъ|čudesъ
не|ne
видите|vidite
не|ne
ꙇмате|jьmate
вѣрꙑ|věry
ѩти|jęti
г҃ла|golgola
къ|kъ
н҄емоу|ńemu
ц҃рь|kěsaŕь
мѫжь|mǫžь
г҃и|gospodi
съниди|sъnidi
прѣжде|perђe
даже|daže
не|ne
оумьретъ|umьretъ
отрочѧ|otročę
мое|moje
г҃ла|golgola
къ|kъ
н҄емоу|ńemu
и҃с|jisusъ
ꙇди|jьdi
с҃нъ|synъ
твои|tvojь
живъ|živъ
естъ|jestъ
ꙇ|i
вѣрѫ|věrǫ
ꙇмъ|jimъ
ч҃къ|čьlověkъ
словеси|slovesi
еже|ježe
рече|reče
емоу|jemu
и҃с|jisusъ
ꙇдѣаше|jьděaše
абье|abьje
же|že
съходѧштю|sъxodęћu
емоу|jemu
се|se
раби|orbi
его|jego
сърѣтѫ|sъrětǫ
і|i
г҃л҄ѭште|golgoĺǫћe
ѣко|ako
с҃нъ|synъ
твои|tvojь
живъ|živъ
естъ|jestъ
въпрашааше|vъprašǢaše
же|že
часа|čǢsa
отъ|otъ
н҄ихъ|ńixъ
въ|vъ
которꙑ|kotorъ
соулѣе|sulěje
емоу|jemu
бꙑстъ|bystъ
рѣшѧ|rěšę
же|že
емоу|jemu
ѣко|ako
вьчера|vьčera
въ|vъ
часъ|čǢsъ
седмꙑ|sedmъjь
остави|ostavi
огнь|ogńь
разоумѣ|orzumě
же|že
о҃ць|otьkь
ѣко|ako
тъ|tъ
бѣ|bě
часъ|čǢsъ
въ|vъ
н҄ьже|ńьže
рече|reče
емоу|jemu
и҃с|jisusъ
с҃нъ|synъ
твои|tvojь
живъ|živъ
естъ|jestъ
ꙇ|i
вѣрова|věrova
самъ|samъ
ꙇ|i
домъ|domъ
его|jego
вьсь|vьxь
се|se
пакꙑ|paky
въторое|vъtoroje
чюдо|čudo
сътвори|sъtvori
и҃с|jisusъ
пришьдъ|prišьdъ
въ|vъ
галилеѭ|galilejǫ
По|po
сихъ|sixъ
же|že
бѣ|bě
праздьникъ|porzdьnikъ
ꙇюдеꙇскъ|ijudejьskъ
ꙇ|i
вьзиде|vъzide
и҃с|jisusъ
въ|vъ
е҃лмъ|
естъ|jestъ
же|že
въ|vъ
е҃рмѣхъ|
на|na
овьчи|ovьči
кѫпѣли|kǫpěli
ѣже|jǢže
нарицаетъ|narikajetъ
сѧ|sę
евреꙇскꙑ|jevrejьsky
фезда|
пѧть|pętь
притворъ|pritvorъ
ꙇмѫшти|jьmǫћi
вь|vъ
тѣхъ|těxъ
же|že
лежааше|ležǢaše
мъножьство|mъnožьstvo
болѧштіхъ|
слѣпъ|slěpъ
хромъ|xromъ
соухъ|suxъ
чаѭштеꙇхъ|
движеньѣ|dviženьjǢ
водѣ|vodě
а҃ꙉлъ|anǵelъ
бо|bo
г҃нь|gospodьńь
на|na
вьсѣ|vьxa
лѣта|lěta
мꙑѣше|
сѧ|sę
въ|vъ
кѫпѣли|kǫpěli
ꙇ|i
възмѫштааше|vъzmǫћǢaše
водѫ|vodǫ
ꙇ|i
иже|jьže
пръвѣе|pŕ̥věje
вълажаше|vъlajǢaše
по|po
възмѫштени|vъzmǫћǢni
водꙑ|vody
съдравъ|sъdorvъ
бꙑвааше|byvaaše
Бѣ|bě
же|že
тоу|tu
етеръ|jeterъ
ч҃къ|čьlověkъ
ꙉ҃|30
ꙇ|i
ѕ҃|osmь
лѣтъ|lětъ
ꙇмꙑ|jьmy
въ|vъ
недѫзѣ|nedǫgě
своемъ|svojemь
сего|sego
видѣвъ|viděvъ
и҃с|jisusъ
лежѧшта|ležęћǢ
ꙇ|i
разоумѣвъ|orzuměvъ
ѣко|ako
мънога|mъnoga
лѣта|lěta
юже|juže
ꙇмѣаше|jьměaše
г҃ла|golgola
емоу|jemu
хоштеши|xoћeši
ли|li
живъ|živъ
бꙑти|byti
Ѡтъвѣшта|otъvěћǢ
емоу|jemu
недѫжьнꙑ|nedǫžьnъjь
еи|corrupted morphology tag
г҃и|gospodi
ч҃ка|čьlověka
не|ne
ꙇмамь|jьmamь
да|da
егда|jegъda
възмѫтитъ|vъzmǫtitъ
сѧ|sę
вода|voda
въвръжетъ|vъvŕ̥žetъ
мѧ|mę
въ|vъ
кѫпѣль|kǫpělь
егда|jegъda
же|že
прихождѫ|prixoђǫ
азъ|azъ
ꙇнъ|jьnъ
прѣжде|perђe
мене|mene
